airport,lat,long,avg_delay,num_flights
William B Hartsfield-Atlanta Intl,33.64044444,-84.42694444,9.283872781736976,93418
Chicago O'Hare International,41.979595,-87.90446417,29.889992747376056,77734
Dallas-Fort Worth International,32.89595056,-97.0372,20.04091930754231,68664
Charlotte/Douglas International,35.21401111,-80.94312583,11.818852340763183,56310
Denver Intl,39.85840806,-104.6670019,19.370646719767205,55523
Los Angeles International,33.94253611,-118.4080744,13.168526570977797,53095
Phoenix Sky Harbor International,33.43416667,-112.0080556,12.154268962990106,44604
George Bush Intercontinental,29.98047222,-95.33972222,14.172923461244883,43806
LaGuardia,40.77724306,-73.87260917,22.2277464718496,41619
San Francisco International,37.61900194,-122.3748433,29.543659715223402,40364
McCarran International,36.08036111,-115.1523333,15.094061483579898,38986
Minneapolis-St Paul Intl,44.88054694,-93.2169225,16.49694585075941,37116
Detroit Metropolitan-Wayne County,42.21205889,-83.34883583,14.372334213818991,36810
Orlando International,28.42888889,-81.31602778,16.69540149458423,36332
Ronald Reagan Washington National,38.85208333,-77.03772222,15.792916666666667,35030
Gen Edw L Logan Intl,42.3643475,-71.00517917,25.70218982499473,34663
Newark Intl,40.69249722,-74.16866056,25.829125467985026,32103
John F Kennedy Intl,40.63975111,-73.77892556,13.037215668382975,31355
Seattle-Tacoma Intl,47.44898194,-122.3093131,13.463865825307208,30769
Salt Lake City Intl,40.78838778,-111.9777731,10.433753885536662,27698
Philadelphia Intl,39.87195278,-75.24114083,8.591755068141493,27163
Fort Lauderdale-Hollywood Int'l,26.07258333,-80.15275,17.96123519129928,26116
Baltimore-Washington International,39.17540167,-76.66819833,12.180569229392285,23365
Miami International,25.79325,-80.29055556,15.802778141790068,23173
San Diego International-Lindbergh ,32.73355611,-117.1896567,11.031225351459193,22124
Tampa International ,27.97547222,-82.53325,13.998383756755391,20182
Chicago Midway,41.7859825,-87.75242444,24.51546920403396,19200
Nashville International,36.12447667,-86.67818222,15.579782881457641,18833
Dallas Love ,32.84711389,-96.85177222,12.348677036101705,18132
Lambert-St Louis International,38.74768694,-90.35998972,16.763434579439252,16078
Washington Dulles International,38.94453194,-77.45580972,16.000197005516153,15591
