airport,lat,long,avg_delay,num_flights
Jamestown Municipal,46.92971944,-98.67819528,50.86425339366516,244
North Bend Muni,43.41713889,-124.2460278,47.0875,90
Mammoth Yosemite,37.62404861,-118.8377722,44.244897959183675,268
Devils Lake Municipal-Knoke ,48.11424528,-98.90877833,40.80419580419581,154
Key ,32.33313333,-88.75120556,39.05747126436781,270
Salina Municipal,38.7914825,-97.65060333,37.23943661971831,230
Pellston Regional  of Emmet County,45.5709275,-84.796715,37.16243654822335,218
Alpena County Regional ,45.0780675,-83.56028583,36.94814814814815,154
Binghamton Regional,42.20848278,-75.97961361,35.1413612565445,200
Eagle County Regional,39.64256778,-106.9176953,35.14066102997694,1369
Aspen-Pitkin Co/Sardy ,39.22316,-106.868845,33.905794080867025,2735
Tompkins Cty ,42.49102778,-76.45844444,33.42790697674418,218
Ford,45.81835417,-88.1145425,31.387096774193548,167
Roberts ,44.25406722,-121.1499633,31.343055555555555,777
Arcata,40.97811528,-124.1086189,30.065671641791045,365
Jackson Hole,43.60732417,-110.7377389,29.21001615508885,1285
Hagerstown Regional-Richard Henson ,39.70794444,-77.7295,27.93548387096774,31
Chippewa County International,46.25075194,-84.47238528,27.9171974522293,167
Cheyenne,41.1557225,-104.8118381,27.689655172413794,90
Marquette County Airport,46.353639,-87.395361,27.133093525179856,298
Benedum,39.29663889,-80.22808333,27.06989247311828,201
Greenbrier Valley,37.85830556,-80.39947222,27.00735294117647,154
Hector International,46.91934889,-96.81498889,26.15721464465183,1488
Rhinelander-Oneida County,45.63119306,-89.46745361,25.88953488372093,180
Rapid City Regional,44.04532139,-103.0573708,25.861263736263737,753
Delta County,45.72266972,-87.09373139,24.564285714285713,154
Hays Municipal,38.84494167,-99.27403361,24.557142857142857,307
Rochester International,43.90882639,-92.49798722,23.79854368932039,917
Sioux Gateway ,42.40260333,-96.38436694,23.78787878787879,326
Sloulin Field International,48.17793861,-103.6423467,23.15819209039548,179
Rogue Valley International,42.37422778,-122.8734978,22.899216125419933,936
Great Falls Intl,47.48200194,-111.3706853,22.195054945054945,368
Quincy Municipal-Baldwin ,39.94262417,-91.19445611,22.12121212121212,158
Shenandoah Valley Regional,38.26384333,-78.89643806,22.051612903225806,167
Stewart,41.50409361,-74.10483833,21.7896174863388,377
Gillette-Campbell County,44.34889806,-105.5393614,21.634730538922156,171
Yampa Valley,40.48118028,-107.2176597,21.242261103633915,763
Redding Municipal,40.50898361,-122.2934019,21.189922480620154,291
Cape Girardeau Municipal,37.22531694,-89.57075167,20.930555555555557,238
Barkley Regional,37.06083333,-88.77375,20.90391459074733,325
Duluth International,46.84209028,-92.19364861,20.79368029739777,566
Elmira/Corning Regional,42.15991361,-76.89144333,20.41304347826087,93
Santa Fe Municipal,35.61677778,-106.0881389,19.730538922155688,346
Burlington International,44.47300361,-73.1503125,19.648634984833166,2069
Yeager,38.37315083,-81.59318972,19.567193675889328,1050
Vernal,40.44090167,-109.5099203,18.968503937007874,153
Mahlon Sweet ,44.12326,-123.2186856,18.84994138335287,902
Quad City,41.44852639,-90.50753917,18.73267326732673,1178
University of Illinois-Willard,40.03925,-88.27805556,18.67921146953405,596
Grand Forks International,47.949255,-97.17611111,18.347648261758692,509
Minot International,48.25937778,-101.2803339,18.16885964912281,465
Ogdensburg Intl,44.68185361,-75.46549917,17.95744680851064,50
University Park,40.851206,-77.846302,17.840304182509506,281
Kalamazoo County,42.234875,-85.5520575,17.813106796116504,442
Watertown Intl,43.99192222,-76.02173861,17.58783783783784,180
Outagamie County Regional,44.25740806,-88.51947556,17.562795089707272,1120
Aberdeen Regional,45.44905556,-98.42183333,17.54705882352941,180
Central Illinois Regional,40.47798556,-88.91595278,17.384615384615383,674
Worcester Regional,42.26733944,-71.87570944,17.30888030888031,270
Houghton County Memorial,47.16841722,-88.48906083,17.296774193548387,180
Stockton Metro,37.89426694,-121.2386203,17.226190476190474,169
San Francisco International,37.61900194,-122.3748433,17.207610318727152,40364
Capital City,42.7787,-84.58735806,17.1657824933687,796
Columbia Regional,38.81809306,-92.21962917,17.11545988258317,555
St Cloud Regional,45.54532417,-94.05833667,16.983870967741936,68
Bemidji-Beltrami County,47.50942417,-94.93372333,16.97159090909091,180
Joslin Field - Magic Valley,42.48180389,-114.4877356,16.898263027295286,403
Chippewa Valley Regional,44.86525722,-91.48507194,16.88888888888889,180
Gunnison County,38.53396333,-106.9331817,16.504065040650406,123
Chicago O'Hare International,41.979595,-87.90446417,16.30070863995639,77734
Chicago Midway,41.7859825,-87.75242444,16.081845068820385,19200
Gallatin ,45.77690139,-111.1530072,16.07471264367816,1761
Westchester Cty,41.06695778,-73.70757444,16.031013615733738,2764
Cherry Capital,44.74144472,-85.582235,15.998043052837573,559
Bismarck Municipal,46.77411111,-100.7467222,15.964285714285714,952
City of Colorado Springs Muni,38.80580556,-104.70025,15.907010014306152,2170
Gen Edw L Logan Intl,42.3643475,-71.00517917,15.846970605878825,34663
Joe Foss ,43.58135111,-96.74170028,15.833232628398791,1768
