dep_hour,avg_dep_delay,avg_arr_delay,avg_total_delay
1,12.79027778,4.174791086,16.92966574
2,16.28469751,8.818181818,24.96078431
3,11.98442368,7.361370717,19.34579439
4,7.115681234,2.940874036,10.05655527
5,4.066987257,-0.920558045,3.04667245
6,3.30237476,-1.609359394,1.658178304
7,4.456099169,-0.30392105,4.110823015
8,5.633489461,1.163236066,6.757757784
9,6.834943205,1.736328693,8.519715384
10,8.760456493,3.644613369,12.34747673
11,9.904560971,4.193903182,14.03803851
12,10.98731116,5.570571383,16.44197049
13,12.27360863,6.436138979,18.65508512
14,13.07160424,7.606905931,20.58067357
15,12.87214427,7.245436477,20.04385999
16,13.65982228,8.533976838,22.1210329
17,14.92389637,9.627832248,24.45509141
18,16.05634723,11.18270491,27.16399142
19,16.28082898,10.54030107,26.69690109
20,15.11968731,8.964248093,23.92432069
21,13.90957164,7.888551861,21.74991892
22,11.41941601,5.107523473,16.41660773
23,11.39532121,1.414781573,12.70830662
,5.674763033,-5.017486663,0.633965619
