dep_hour,avg_dep_delay,avg_arr_delay
1,12.79027778,4.174791086
2,16.28469751,8.818181818
3,11.98442368,7.361370717
4,7.115681234,2.940874036
5,4.066987257,-0.920558045
6,3.30237476,-1.609359394
7,4.456099169,-0.30392105
8,5.633489461,1.163236066
9,6.834943205,1.736328693
10,8.760456493,3.644613369
11,9.904560971,4.193903182
12,10.98731116,5.570571383
13,12.27360863,6.436138979
14,13.07160424,7.606905931
15,12.87214427,7.245436477
16,13.65982228,8.533976838
17,14.92389637,9.627832248
18,16.05634723,11.18270491
19,16.28082898,10.54030107
20,15.11968731,8.964248093
21,13.90957164,7.888551861
22,11.41941601,5.107523473
23,11.39532121,1.414781573
,5.674763033,-5.017486663
