year,engine_type,avg_delay
1986,Turbo-Fan,70.63157894736842
1987,Turbo-Fan,2.7974285714285716
1988,Turbo-Fan,2.6253164556962023
1989,Turbo-Fan,4.410650887573964
1989,Turbo-Jet,48.18279569892473
1990,Turbo-Jet,20.142519219396807
1990,Turbo-Fan,2.0203926673174966
1991,Turbo-Fan,3.599530770619022
1991,Turbo-Jet,7.7338775510204085
1992,Turbo-Fan,11.111916264090176
1992,Turbo-Jet,9.138239681750372
1993,Turbo-Jet,19.848982785602505
1993,Turbo-Fan,10.9107421875
1994,Turbo-Jet,25.38751415170629
1994,Turbo-Fan,21.009708737864077
1995,Turbo-Jet,16.781228070175437
1995,Turbo-Fan,13.544518785383428
1996,Turbo-Jet,14.602872469285343
1996,Turbo-Fan,14.483811850946854
1997,Turbo-Jet,23.663816271683363
1997,Turbo-Fan,14.596700027048959
1998,Turbo-Fan,16.57063891240476
1998,Turbo-Jet,15.577533799110789
1999,Turbo-Jet,11.714644724575413
1999,Turbo-Fan,17.141446431397373
2000,Turbo-Fan,16.675772383775268
2000,Turbo-Jet,9.360297871062667
2001,Turbo-Jet,16.54661204279525
2001,Turbo-Fan,16.083368303259196
2002,Turbo-Jet,17.976361671131162
2002,Turbo-Fan,21.60965801625573
2003,Turbo-Jet,14.019858297575093
2003,Turbo-Fan,22.587371112057948
2004,Turbo-Jet,36.31649484536082
2004,Turbo-Fan,19.81236479227679
2005,Turbo-Fan,20.582018386388583
2005,Turbo-Jet,-0.01107011070110701
2006,Turbo-Fan,19.5528719894054
2007,Turbo-Fan,14.79042714110783
2008,Turbo-Fan,14.683194206979785
