origin,carrier_delay,nas_delay,late_aircraft_delay,avg_delay,num_flights
ATL,21.104301623116676,13.135017104592766,17.34631341436786,9.283872781736976,93418
CLT,17.454626599226422,10.448180105127442,23.794406426658732,11.818852340763183,56310
DEN,20.924560651521645,14.6903557651093,23.1475353621946,19.370646719767205,55523
DFW,20.82626896912611,10.716313448456306,23.00111198325484,20.04091930754231,68664
JFK,24.543257389162562,21.93442118226601,16.91579433497537,13.037215668382975,31355
LAS,18.827629911280102,13.170680185889312,26.676946908886073,15.094061483579898,38986
LAX,23.256194831436776,15.697224290120175,24.763905136658515,13.168526570977797,53095
LGA,14.210152576528165,17.208617215238462,35.4555225026389,22.2277464718496,41619
ORD,19.71192868400315,16.24546887312845,28.09190307328605,29.889992747376056,77734
PHX,22.038316751815003,11.230034955633235,22.06238236084969,12.154268962990106,44604
